Date,Stock Price,Equity REIT Price,diff_stockprice,diff_Equity REIT Price,,,,,S&P 100
"January 1, 1972",103.94,98.65462,2.63,,,,,,
"February 1, 1972",106.57,100.3682599,0.63,1.713639924,,,,,
"March 1, 1972",107.20,99.62905712,0.47,-0.7392028,,,,,
"April 1, 1972",107.67,102.8533523,1.86,3.224295176,,,,,
"May 1, 1972",109.53,92.82986525,-2.39,-10.02348705,,,,,
"June 1, 1972",107.14,101.7469526,0.25,8.9170874,,,,,
"July 1, 1972",107.39,106.360213,3.70,4.613260352,,,,,
"August 1, 1972",111.09,104.8138013,-0.54,-1.54641166,,,,,
"September 1, 1972",110.55,108.1629331,1.03,3.349131745,,,,,
"October 1, 1972",111.58,104.7719441,5.09,-3.390988966,,,,,
"November 1, 1972",116.67,103.0697135,1.38,-1.702230614,,,,,
"December 1, 1972",118.05,101.0805783,-2.02,-1.989135186,,,,,
"January 1, 1973",116.03,101.5859558,-4.35,0.50537752,,,,,
"February 1, 1973",111.68,95.87471691,-0.16,-5.711238932,,,,,
"March 1, 1973",111.52,97.41943884,-4.55,1.544721934,,,,,
"April 1, 1973",106.97,92.03361734,-2.02,-5.385821499,,,,,
"May 1, 1973",104.95,89.3318886,-0.69,-2.701728747,,,,,
"June 1, 1973",104.26,90.5762668,3.96,1.2443782,,,,,
"July 1, 1973",108.22,92.83135308,-3.97,2.255086281,,,,,
"August 1, 1973",104.25,88.33947951,4.18,-4.491873569,,,,,
"September 1, 1973",108.43,93.27754952,-0.14,4.938070014,,,,,
"October 1, 1973",108.29,93.25634446,-12.33,-0.021205065,,,,,
"November 1, 1973",95.96,80.13746148,1.59,-13.11888298,,,,,
"December 1, 1973",97.55,79.06584643,-0.98,-1.071615044,,,,,
"January 1, 1974",96.57,81.65924621,-0.35,2.59339977,,,,,
"February 1, 1974",96.22,85.03269403,-2.24,3.373447821,,,,,
"March 1, 1974",93.98,82.31172647,-3.67,-2.720967554,,,,,
"April 1, 1974",90.31,76.94147913,-3.03,-5.370247343,,,,,
"May 1, 1974",87.28,71.50403157,-1.28,-5.437447559,,,,,
"June 1, 1974",86.00,71.69781393,-6.69,0.193782361,,,,,
"July 1, 1974",79.31,65.19609915,-7.16,-6.501714785,,,,,
"August 1, 1974",72.15,60.242996,-8.61,-4.953103145,,,,,
"September 1, 1974",63.54,59.23616216,10.36,-1.006833843,,,,,
"October 1, 1974",73.90,60.85696088,-3.93,1.620798722,,,,,
"November 1, 1974",69.97,57.56428077,-1.41,-3.292680109,,,,,
"December 1, 1974",68.56,55.87880554,8.42,-1.685475233,,,,,
"January 1, 1975",76.98,62.89159194,4.61,7.012786407,,,,,
"February 1, 1975",81.59,64.3261396,1.77,1.434547653,,,,,
"March 1, 1975",83.36,65.47234958,3.94,1.146209985,,,,,
"April 1, 1975",87.30,66.64579407,3.85,1.173444488,,,,,
"May 1, 1975",91.15,65.60728572,4.04,-1.038508353,,,,,
"June 1, 1975",95.19,68.93387224,-6.44,3.326586521,,,,,
"July 1, 1975",88.75,67.03322641,-1.87,-1.900645828,,,,,
